id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Bubanza - Imbo - Sems,-,-,-,-,-,"24,6","24,3","24,4","23,9","25,3","35,2","25,3","40,3 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Cibitoke - Mparambo,-,-,-,-,-,"24,3","24,4","23,5","24,3","25,4","34,6","24,63","41,0 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Bujumbura - Bujumbura,"24,9",25,"24,8","25,1","25,2","24,4","24,5","24,2","24,6","23,5","35,7","24,68","39,8 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Bururi- Mpotsa,"","","","","","","","","","","","","   26,7 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Bururi -Kigwena - Vyanda,"18,9","18,7","18,4","18,9","19,4","19,1","19,1",21,"21,3","20,6","23,6","19,9","30,4 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Makamba - Makamba,-,-,-,-,-,-,21,19,"26,5","11,5","30,9","21,9","34,1 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Gitega - Ruvyironza,"","","","","","","","","","","","","   29,9 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Gitega - Gitega,20,20,"20,2","20,1","20,4",20,20,"20,3","19,8","19,8","28,4","20,6","33,4 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Karuzi - Karuzi,"19,6",20,"19,8","20,3",21,207,"20,9","20,9","21,8","21,7","29,2","21,6","33,5 "
3.02,Température moyenne annuelle par station météorologique (en °C),IGEBU,Muramvya - Teza,-,-,-,-,-,-,-,-,-,-,-,-,-
